order_details_id,order_id,product_id,quantity,unit_price,total_price
1,1,12,1,2088.22,2088.22
2,2,25,2,669.38,1338.76
3,3,54,1,386.2,386.2
4,4,38,3,1293.67,3881.01
5,5,44,1,1087.25,1087.25
6,5,36,-1,1240.53,1240.53
7,5,43,1,434.65,434.65
8,6,7,3,969.8,2909.4
9,6,11,2,922.42,1844.84
10,7,50,1,264.09,264.09
11,8,49,1,361.35,361.35
12,9,23,2,375.75,751.5
13,9,25,1,669.38,669.38
14,10,21,1,2743.56,2743.56
15,11,49,2,361.35,722.7
16,11,54,1,386.2,386.2
17,12,50,2,264.09,528.18
18,13,18,1,1916.95,1916.95
19,13,22,1,844.84,844.84
20,14,35,1,275.13,275.13
21,15,11,1,922.42,922.42
22,15,2,1,2761.13,2761.13
23,15,6,1,1477.04,1477.04
24,16,40,2,846.15,1692.3
25,17,21,3,2743.56,8230.68
26,18,22,1,844.84,844.84
27,18,14,2,1834.35,3668.7
28,19,53,1,394.6,394.6
29,20,34,1,,823.09
30,20,39,3,695.64,2086.92
31,21,4,1,2270.49,2270.49
32,22,43,1,434.65,434.65
33,23,31,1,,676.56
34,23,29,1,654.38,654.38
35,23,30,2,654.36,1308.72
36,24,1,2,2489.4,4978.8
37,25,52,1,243.4,243.4
38,26,6,1,1477.04,1477.04
39,27,16,2,2419.78,4839.56
40,28,38,1,1293.67,1293.67
41,28,34,2,823.09,1646.18
42,29,34,2,823.09,1646.18
43,29,42,2,562.47,1124.94
44,29,37,2,664.45,1328.9
45,29,39,1,695.64,695.64
46,30,49,2,361.35,722.7
47,31,12,2,2088.22,4176.44
48,32,48,3,233.58,700.74
49,32,45,2,205.29,410.58
50,33,45,1,205.29,205.29
51,34,52,2,,486.8
52,34,47,1,200.78,200.78
53,35,38,3,1293.67,3881.01
54,36,21,1,2743.56,2743.56
55,37,45,1,205.29,205.29
56,37,47,2,200.78,401.56
57,37,51,1,389.69,389.69
58,38,49,1,361.35,361.35
59,39,13,1,2174.44,2174.44
60,40,9,1,3021.33,3021.33
61,41,51,1,389.69,389.69
62,42,14,3,1834.35,5503.05
63,43,51,2,389.69,779.38
64,44,48,2,233.58,467.16
65,44,46,1,301.02,301.02
66,45,37,1,664.45,664.45
67,45,41,1,893.22,893.22
68,46,49,1,361.35,361.35
69,47,48,1,233.58,233.58
70,48,12,1,2088.22,2088.22
71,49,3,3,782.44,2347.32
72,49,2,2,2761.13,5522.26
73,50,9,2,3021.33,6042.66
74,51,53,2,394.6,789.2
75,51,51,2,389.69,779.38
76,52,11,2,922.42,1844.84
77,52,8,1,1985.38,1985.38
78,52,1,2,2489.4,4978.8
79,53,43,1,434.65,434.65
80,54,48,1,233.58,233.58
81,55,32,2,525.91,1051.82
82,56,41,1,893.22,893.22
83,57,15,1,2972.8,2972.8
84,57,17,1,1287.64,1287.64
85,58,22,1,844.84,844.84
86,58,15,1,2972.8,2972.8
87,59,44,1,1087.25,1087.25
88,59,34,1,823.09,823.09
