promotion_id,promotion_name,promotion_type,discount_percentage,start_date,end_date
1,New Year Sale 2023,Festival,15.42,2023-01-01,2023-01-08
2,Republic Day Sale 2023,Festival,26.22,2023-01-26,2023-01-31
3,Holi Splash Offer 2023,Festival,10.86,2023-03-15,2023-03-21
4,Summer EOSS 2023,Festival,41.68,2023-06-15,2023-06-29
5,Independence Day Sale 2023,Festival,25.06,2023-08-15,2023-08-20
6,Rakhi Special 2023,Festival,18.53,2023-08-25,2023-08-29
7,Navratri Fest Offer 2023,Festival,17.36,2023-10-05,2023-10-14
8,Diwali Dhamaka 2023,Festival,49.02,2023-11-01,2023-11-11
9,Winter EOSS 2023,Festival,31.6,2023-12-20,2024-01-01
10,New Year Sale 2024,Festival,11.86,2024-01-01,2024-01-08
11,Republic Day Sale 2024,Festival,23.93,2024-01-26,2024-01-31
12,Holi Splash Offer 2024,Festival,20.13,2024-03-15,2024-03-21
13,Summer EOSS 2024,Festival,34.7,2024-06-15,2024-06-29
14,Independence Day Sale 2024,Festival,17.4,2024-08-15,2024-08-20
15,Rakhi Special 2024,Festival,18.9,2024-08-25,2024-08-29
16,Navratri Fest Offer 2024,Festival,18.69,2024-10-05,2024-10-14
17,Diwali Dhamaka 2024,Festival,39.86,2024-11-01,2024-11-11
18,Winter EOSS 2024,Festival,42.39,2024-12-20,2025-01-01
19,New Year Sale 2025,Festival,14.19,2025-01-01,2025-01-08
20,Republic Day Sale 2025,Festival,23.76,2025-01-26,2025-01-31
21,Holi Splash Offer 2025,Festival,17.84,2025-03-15,2025-03-21
22,Summer EOSS 2025,Festival,48.69,2025-06-15,2025-06-29
23,Independence Day Sale 2025,Festival,19.09,2025-08-15,2025-08-20
24,Rakhi Special 2025,Festival,17.16,2025-08-25,2025-08-29
25,Navratri Fest Offer 2025,Festival,18.58,2025-10-05,2025-10-14
26,Diwali Dhamaka 2025,Festival,34.89,2025-11-01,2025-11-11
