return_id,order_details_id,return_reason,return_amount,return_status,return_date
1,17,Not as described,528.18,Approved,2025-11-12
2,31,Size too large,2270.49,Approved,2026-08-24
3,34,Size issue,654.38,Approved,08/27/2026
4,36,Changed mind,4978.8,Approved,2026-09-15
5,60,Fabric quality poor,3021.33,Approved,2024-11-15
6,61,Changed mind,389.69,Approved,2025-10-31
7,79,Product damaged,434.65,Approved,2025-08-03
8,84,Uncomfortable fit,1287.64,Approved,2025-11-29
9,86,Uncomfortable fit,2972.8,Approved,2025-11-30
10,87,Shade mismatch,1087.25,Approved,2025-12-17
11,88,Shade mismatch,823.09,Approved,2025-12-15
12,117,size too large,782.44,Approved,2026-06-01
13,128,Changed mind,823.09,Approved,2024-11-14
14,141,Changed mind,3970.76,Approved,2026-01-31
15,143,Size too large,1477.93,Approved,2026-03-21
16,159,Uncomfortable fit,2419.78,Pending,2025-11-01
17,162,Changed mind,1916.95,Approved,2025-11-10
18,163,Color mismatch,1488.07,Approved,2025-11-08
19,172,Allergic reaction,846.15,Approved,2025-12-15
20,173,Shade mismatch,695.64,Approved,2025-12-11
21,182,Uncomfortable fit,3346.68,Approved,2026-01-14
22,192,Color mismatch,2761.13,Approved,2026-05-04
23,195,allergic reaction,1293.67,Approved,2026-06-04
24,199,Product damaged,2481.06,Rejected,2026-07-06
25,210,Size too large,922.42,Approved,2026-03-07
26,211,Size too large,893.75,Approved,2026-03-06
27,217,Shade mismatch,1303.95,Approved,2025-12-22
28,228,Changed mind,1787.5,Pending,2026-01-09
29,231,Changed mind,3970.76,Approved,2026-01-10
30,233,Size too large,5956.14,Pending,2026-01-09
31,236,Not as described,988.73,Approved,2026-01-10
32,245,Fabric quality poor,2681.25,Approved,2026-06-25
33,254,Changed mind,3021.33,Approved,2025-06-15
34,262,Not as described,205.29,Approved,2025-06-10
35,276,Product damaged,2587.34,Approved,2025-06-15
36,280,Changed mind,1303.95,Approved,2025-06-18
37,287,Product damaged,1293.67,Approved,2025-06-11
38,290,Wrong size,2419.78,Approved,2025-10-09
39,297,Wrong size,4839.56,Approved,2025-02-03
40,302,Color mismatch,2909.4,Approved,2024-10-12
41,316,Changed mind,377.09,Pending,2026-04-21
42,317,Not as described,776.2,Rejected,2026-04-19
43,323,Product damaged,389.69,Approved,2024-05-26
44,325,Color mismatch,5487.12,Approved,2024-09-07
