review_id,order_details_id,rating,review_text,review_date
1,99109,1,Not satisfied with the quality.,2026-09-05
2,50050,5,"Nice product, fast delivery too.",2025-10-27
3,3630,3,"Average quality, does the job.",2024-01-18
4,67253,5,"Nice product, fast delivery too.",2024-12-04
5,30428,4,"Really happy with this purchase, great quality!",2026-08-30
6,25504,3,Decent product for the price.,2024-05-28
7,26020,4,"Really happy with this purchase, great quality!",2025-06-28
8,95984,5,"Loved it, fits perfectly.",2025-06-27
9,46880,5,"Loved it, fits perfectly.",2026-07-16
10,64800,5,Good value for money.,2026-05-21
11,8187,4,"Loved it, fits perfectly.",2026-01-23
12,96178,2,Product did not match the description.,2026-08-27
13,7761,4,"Exactly as described, will buy again.",2025-10-18
14,96386,5,Good value for money.,2024-01-26
15,6886,3,"It's okay, expected a bit better.",2026-05-13
16,5158,3,"It's okay, expected a bit better.",2025-11-15
17,5319,4,"Nice product, fast delivery too.",2026-04-05
18,23183,4,"Loved it, fits perfectly.",2025-08-22
19,10300,5,Good value for money.,2026-05-13
20,65354,4,"Exactly as described, will buy again.",2025-01-14
21,1540,3,"It's okay, expected a bit better.",2026-07-20
22,46036,5,"Nice product, fast delivery too.",2026-02-12
23,48418,5,"Exactly as described, will buy again.",2026-01-07
24,74534,5,"Exactly as described, will buy again.",2024-04-06
25,88435,2,"Disappointed, expected better.",2024-02-12
26,45106,5,Good value for money.,2026-09-14
27,97007,6,Decent product for the price.,2025-03-20
28,6583,3,Decent product for the price.,2026-04-13
29,99793,3,Decent product for the price.,2024-09-06
30,65525,1,Product did not match the description.,2026-08-28
31,55573,2,"Disappointed, expected better.",2025-07-27
32,83591,4,"Loved it, fits perfectly.",2026-02-24
33,94333,3,"Average quality, does the job.",2025-05-30
34,79287,5,"Really happy with this purchase, great quality!",2026-06-20
35,58106,5,"Really happy with this purchase, great quality!",2026-07-14
36,92400,5,"Exactly as described, will buy again.",2026-02-22
37,10402,5,"Exactly as described, will buy again.",2026-07-26
38,77991,4,"Nice product, fast delivery too.",2024-12-18
39,95125,4,"Really happy with this purchase, great quality!",2026-02-25
40,69733,4,Good value for money.,2025-11-15
41,24232,2,Product did not match the description.,2025-07-09
42,66076,3,Decent product for the price.,2026-03-26
43,94878,5,"Loved it, fits perfectly.",2026-04-15
44,94871,4,Good value for money.,2026-01-12
45,72690,5,"Nice product, fast delivery too.",2026-06-11
46,32550,3,"It's okay, expected a bit better.",2024-09-01
47,67762,4,"Nice product, fast delivery too.",2026-06-23
48,40464,4,"Exactly as described, will buy again.",2026-07-01
49,23709,3,Decent product for the price.,2026-06-29
50,50083,5,"Really happy with this purchase, great quality!",2026-04-17
51,14528,4,"Really happy with this purchase, great quality!",2026-04-05
52,10561,5,"Really happy with this purchase, great quality!",2025-11-09
53,43977,2,Not satisfied with the quality.,2025-02-10
54,10554,3,Decent product for the price.,2025-10-20
55,22486,2,"Disappointed, expected better.",2026-08-21
56,81129,2,Product did not match the description.,2026-01-28
57,59562,4,"Nice product, fast delivery too.",2026-02-23
58,29458,5,"Nice product, fast delivery too.",2025-09-12
59,54810,5,"Nice product, fast delivery too.",2024-12-13
60,49335,2,Not satisfied with the quality.,2025-08-29
61,63604,5,"Loved it, fits perfectly.",2026-04-04
62,89450,4,Good value for money.,2024-05-30
63,98885,3,"It's okay, expected a bit better.",2026-09-13
64,89388,5,Good value for money.,2026-01-06
65,17302,3,Decent product for the price.,2025-11-17
66,83415,3,"Average quality, does the job.",2025-09-30
67,80685,5,"Really happy with this purchase, great quality!",2024-08-28
68,47215,6,"Disappointed, expected better.",2025-01-16
69,81395,5,"Loved it, fits perfectly.",2024-04-27
70,52175,3,Decent product for the price.,2026-07-06
71,54455,5,"Exactly as described, will buy again.",2026-03-10
72,22033,4,"Really happy with this purchase, great quality!",2026-04-03
73,15966,5,"Nice product, fast delivery too.",2026-07-07
74,97107,3,Decent product for the price.,2026-02-19
75,46795,4,"Loved it, fits perfectly.",2025-09-03
76,80403,3,"Average quality, does the job.",2024-12-14
77,67937,1,Product did not match the description.,2026-08-03
78,91067,3,"It's okay, expected a bit better.",2025-11-12
79,94921,5,Good value for money.,2026-05-05
80,61245,5,Good value for money.,2026-02-18
81,45420,5,"Really happy with this purchase, great quality!",2026-08-11
82,45879,5,"Nice product, fast delivery too.",2026-08-24
83,65854,4,"Loved it, fits perfectly.",2025-04-09
84,68452,5,"Loved it, fits perfectly.",2026-02-03
85,65066,1,Product did not match the description.,2026-09-14
86,87284,4,"Nice product, fast delivery too.",2025-08-28
87,17518,4,"Really happy with this purchase, great quality!",2026-02-18
88,95561,4,Good value for money.,2026-09-13
89,43601,4,"Nice product, fast delivery too.",2026-06-13
90,112,4,"Exactly as described, will buy again.",2025-11-23
91,45327,2,"Disappointed, expected better.",2026-07-10
92,53781,2,Product did not match the description.,2026-04-12
93,51697,3,"It's okay, expected a bit better.",2026-05-21
94,5420,5,Good value for money.,2025-10-08
95,66536,5,"Loved it, fits perfectly.",2026-08-18
96,26747,2,Not satisfied with the quality.,2023-10-25
97,66023,3,Decent product for the price.,2025-06-06
98,5188,2,"Disappointed, expected better.",2025-09-11
99,34485,5,Good value for money.,2025-02-18
100,92186,3,"Average quality, does the job.",2026-05-21
101,21936,4,Good value for money.,2026-06-14
102,30331,5,Good value for money.,2026-08-23
103,57406,5,"Loved it, fits perfectly.",2026-02-09
104,36628,5,Good value for money.,2025-10-24
105,72103,4,"Exactly as described, will buy again.",2024-08-30
106,30736,4,"Exactly as described, will buy again.",2026-07-17
107,66001,4,"Really happy with this purchase, great quality!",2026-07-06
108,48079,2,"Disappointed, expected better.",2026-06-10
109,72559,4,"Exactly as described, will buy again.",2025-02-01
110,48314,4,"Loved it, fits perfectly.",2026-03-10
111,76081,5,"Really happy with this purchase, great quality!",2026-02-27
112,53335,5,"Nice product, fast delivery too.",2026-08-29
113,96326,5,"Exactly as described, will buy again.",2025-01-12
114,74580,5,"Really happy with this purchase, great quality!",2026-01-13
115,10652,3,Decent product for the price.,2025-09-18
116,44842,4,Good value for money.,2025-11-11
117,6662,5,"Exactly as described, will buy again.",2024-10-28
118,64178,5,"Really happy with this purchase, great quality!",2025-06-02
119,59718,4,Good value for money.,2026-07-08
120,78912,3,Decent product for the price.,2026-08-30
121,73615,4,"Exactly as described, will buy again.",2026-08-29
122,45803,5,"Nice product, fast delivery too.",2025-11-22
123,44515,3,Decent product for the price.,2025-09-08
124,57395,5,"Nice product, fast delivery too.",2025-01-22
125,67821,5,"Loved it, fits perfectly.",2025-01-19
126,29420,4,"Loved it, fits perfectly.",2023-11-01
127,63679,1,Not satisfied with the quality.,2026-01-06
128,25444,2,Product did not match the description.,2026-09-07
129,48260,5,Good value for money.,2024-10-07
130,32002,1,"Disappointed, expected better.",2026-09-06
131,13013,4,"Loved it, fits perfectly.",2026-07-18
132,20325,0,Good value for money.,2026-01-04
133,21464,4,"Exactly as described, will buy again.",2026-05-28
134,88151,4,Good value for money.,2025-11-05
135,16742,2,Product did not match the description.,2024-08-30
136,86417,4,,2026-01-11
137,59001,5,"Exactly as described, will buy again.",2025-04-22
138,62632,3,Decent product for the price.,2023-12-21
139,99186,5,Good value for money.,2025-10-16
140,75036,5,"Really happy with this purchase, great quality!",2026-08-30
141,37025,3,Decent product for the price.,2026-09-05
142,16897,5,"Loved it, fits perfectly.",2026-08-19
143,11483,3,"Average quality, does the job.",2026-08-12
144,39821,5,"Really happy with this purchase, great quality!",2026-05-20
145,865,1,"Disappointed, expected better.",2026-05-11
146,12326,5,"Loved it, fits perfectly.",2026-09-07
147,99737,5,"Loved it, fits perfectly.",2025-07-05
148,86333,2,Not satisfied with the quality.,2026-01-19
149,14627,2,Not satisfied with the quality.,2026-06-10
150,52695,4,"Loved it, fits perfectly.",2025-12-27
151,20703,2,"Disappointed, expected better.",2026-01-26
152,80912,3,Decent product for the price.,2026-05-17
153,40045,1,Not satisfied with the quality.,2026-08-17
154,65129,3,Decent product for the price.,2026-01-03
155,87597,2,"Disappointed, expected better.",2026-01-30
156,46824,5,"Loved it, fits perfectly.",2026-03-05
157,87206,2,Not satisfied with the quality.,2025-02-03
158,55721,3,"It's okay, expected a bit better.",2026-01-28
159,57381,5,Good value for money.,2025-11-18
160,11358,4,"Nice product, fast delivery too.",2026-04-25
161,58939,5,"Loved it, fits perfectly.",2025-07-01
162,284,5,Good value for money.,2025-06-25
163,23551,2,Product did not match the description.,2025-05-27
164,16382,4,"Exactly as described, will buy again.",2025-09-02
165,36949,5,"Exactly as described, will buy again.",2026-08-31
166,75819,4,Good value for money.,2025-01-22
167,61534,5,Good value for money.,2024-07-24
168,995,3,"Average quality, does the job.",2023-06-09
169,88479,2,"Disappointed, expected better.",2025-04-06
170,88754,4,"Nice product, fast delivery too.",2026-06-28
171,96906,3,"It's okay, expected a bit better.",2026-03-29
172,55959,4,"Really happy with this purchase, great quality!",2026-06-29
173,85208,4,"Exactly as described, will buy again.",2026-05-11
174,61897,5,"Nice product, fast delivery too.",2024-07-06
175,99111,1,Not satisfied with the quality.,2026-09-09
176,5341,4,"Really happy with this purchase, great quality!",2026-05-03
177,94352,4,"Really happy with this purchase, great quality!",2025-09-04
178,79132,5,"Nice product, fast delivery too.",2026-02-23
179,88821,5,"Exactly as described, will buy again.",2025-01-07
180,94520,3,"Average quality, does the job.",2026-04-28
181,34183,5,"Nice product, fast delivery too.",2026-07-02
182,22794,4,"Really happy with this purchase, great quality!",2026-08-10
183,69470,2,Not satisfied with the quality.,2025-01-12
184,98206,5,,2026-04-02
185,28783,4,"Nice product, fast delivery too.",2026-05-12
186,6959,3,"It's okay, expected a bit better.",2026-07-21
187,42056,4,"Exactly as described, will buy again.",2025-10-14
188,89659,5,"Loved it, fits perfectly.",2025-09-15
189,74103,4,"Exactly as described, will buy again.",2025-03-08
190,60828,6,"Loved it, fits perfectly.",2026-02-06
191,55619,4,"Exactly as described, will buy again.",2025-09-03
192,62531,0,"Really happy with this purchase, great quality!",2026-06-06
193,38157,2,Product did not match the description.,2026-06-03
194,99084,5,"Loved it, fits perfectly.",2023-12-21
